date,subcategory,seller_type,year,month,sumOfLeads,ad_id
2019-01-01,Accessories for Phones & Gadgets,Private,2019,1,3741.179160826,575
2019-01-01,Accessories for Phones & Gadgets,Pro,2019,1,603.744234476,93
2019-01-01,Accommodation & Homestays,Private,2019,1,214.443447904,30
2019-01-01,Accommodation & Homestays,Pro,2019,1,2902.645241272,461
2019-01-01,Apartments,Private,2019,1,25596.91021247,2900
2019-01-01,Apartments,Pro,2019,1,50547.91353224,7284
2019-01-01,Bags & Wallets,Private,2019,1,3050.715554928,499
2019-01-01,Bags & Wallets,Pro,2019,1,431.079371892,80
2019-01-01,Bed & Bath,Private,2019,1,1585.590157224,236
2019-01-01,Bed & Bath,Pro,2019,1,348.604928184,57
2019-01-01,Business for Sale,Private,2019,1,1112.763607212,106
2019-01-01,Business for Sale,Pro,2019,1,910.107983382,98
2019-01-01,Cameras & Photography,Private,2019,1,5427.976476288,712
2019-01-01,Cameras & Photography,Pro,2019,1,1333.56659776,190
2019-01-01,Car Accessories & Parts,Private,2019,1,14940.143429326,2033
2019-01-01,Car Accessories & Parts,Pro,2019,1,32164.294955158,5788
2019-01-01,Cars,Private,2019,1,72350.930973816,6138
2019-01-01,Cars,Pro,2019,1,94798.884203496,12740
2019-01-01,Clothes,Private,2019,1,3296.41823,591
2019-01-01,Clothes,Pro,2019,1,1454.19135632,304
2019-01-01,Commercial Properties,Private,2019,1,1814.69596824,316
2019-01-01,Commercial Properties,Pro,2019,1,2995.38727812,557
2019-01-01,Commercial Vehicle & Boats,Private,2019,1,3993.261571276,457
2019-01-01,Commercial Vehicle & Boats,Pro,2019,1,2299.262438914,360
2019-01-01,Computers & Accessories,Private,2019,1,15630.784386048,2013
2019-01-01,Computers & Accessories,Pro,2019,1,3524.946012432,555
2019-01-01,Food,Private,2019,1,153.417240392,22
2019-01-01,Food,Pro,2019,1,1193.660967928,233
2019-01-01,Furniture & Decoration,Private,2019,1,11190.84371952,1664
2019-01-01,Furniture & Decoration,Pro,2019,1,3260.097880992,581
2019-01-01,Games & Consoles,Private,2019,1,10257.168778272,1102
2019-01-01,Games & Consoles,Pro,2019,1,2648.3074659,339
2019-01-01,Garden Items,Private,2019,1,1314.83619932,209
2019-01-01,Garden Items,Pro,2019,1,703.97745516,133
2019-01-01,Health & Beauty,Private,2019,1,1568.186883336,276
2019-01-01,Health & Beauty,Pro,2019,1,778.452481656,163
2019-01-01,Hobby & Collectibles,Private,2019,1,9728.117060432,1317
2019-01-01,Hobby & Collectibles,Pro,2019,1,1997.67287036,366
2019-01-01,Home Appliances & Kitchen,Private,2019,1,17987.228931672,2339
2019-01-01,Home Appliances & Kitchen,Pro,2019,1,3674.570989752,673
2019-01-01,Houses,Private,2019,1,33325.09449624,3608
2019-01-01,Houses,Pro,2019,1,46518.13905552,6506
2019-01-01,Jobs,Private,2019,1,327.005564514,39
2019-01-01,Jobs,Pro,2019,1,48040.42422495,3109
2019-01-01,Land,Private,2019,1,6178.50189928,911
