date,vertical,year,month,sumOfLeads
2019-01-01,Auto,2019,1,305220.145898772
2019-01-01,Generalist,2019,1,298060.57880666
2019-01-01,Jobs,2019,1,48367.429789464
2019-01-01,Property,2019,1,218244.146617654
2019-01-01,Services,2019,1,11133.758961434
2019-01-02,Auto,2019,1,349743.066061694
2019-01-02,Generalist,2019,1,331809.030132548
2019-01-02,Jobs,2019,1,84415.20050235
2019-01-02,Property,2019,1,296733.071314092
2019-01-02,Services,2019,1,14322.126260468
2019-01-03,Auto,2019,1,359798.684361996
2019-01-03,Generalist,2019,1,356149.156209962
2019-01-03,Jobs,2019,1,78150.65569902
2019-01-03,Property,2019,1,283434.10172475
2019-01-03,Services,2019,1,16358.454341804
2019-01-04,Auto,2019,1,335229.980821542
2019-01-04,Generalist,2019,1,339901.341912514
2019-01-04,Jobs,2019,1,67363.146289884
2019-01-04,Property,2019,1,272827.455876904
2019-01-04,Services,2019,1,16397.229944472
2019-01-05,Auto,2019,1,344775.331502816
2019-01-05,Generalist,2019,1,339244.47214512
2019-01-05,Jobs,2019,1,49679.126267346
2019-01-05,Property,2019,1,237385.838442746
2019-01-05,Services,2019,1,15560.285009342
2019-01-06,,2019,1,2
2019-01-06,Auto,2019,1,346392.9890588
2019-01-06,Generalist,2019,1,322882.226961688
2019-01-06,Jobs,2019,1,49778.330202648
2019-01-06,Property,2019,1,249597.912148286
2019-01-06,Services,2019,1,15286.902255948
2019-01-07,Auto,2019,1,350647.761392284
2019-01-07,Generalist,2019,1,335560.293732162
2019-01-07,Jobs,2019,1,92178.826994688
2019-01-07,Property,2019,1,306813.84762131
2019-01-07,Services,2019,1,16403.89233625
2019-01-08,Auto,2019,1,361481.686264504
2019-01-08,Generalist,2019,1,332995.993081792
2019-01-08,Jobs,2019,1,85003.07567451
2019-01-08,Property,2019,1,284685.945734704
2019-01-08,Services,2019,1,17364.299419192
2019-01-09,Auto,2019,1,345281.66894919
2019-01-09,Generalist,2019,1,327470.83453616
2019-01-09,Jobs,2019,1,81237.00035286
2019-01-09,Property,2019,1,282130.461599588
2019-01-09,Services,2019,1,18060.68258476
2019-01-10,Auto,2019,1,339883.286408844
2019-01-10,Generalist,2019,1,330858.545928668
2019-01-10,Jobs,2019,1,73752.614567298
2019-01-10,Property,2019,1,265860.37518176
2019-01-10,Services,2019,1,16835.87526651
2019-01-11,Auto,2019,1,327982.919299706
2019-01-11,Generalist,2019,1,323087.893737912
2019-01-11,Jobs,2019,1,63336.201360588
2019-01-11,Property,2019,1,244896.40950433
2019-01-11,Services,2019,1,15285.877573728
2019-01-12,,2019,1,4
2019-01-12,Auto,2019,1,309190.56370596
2019-01-12,Generalist,2019,1,308482.115615936
2019-01-12,Jobs,2019,1,43884.881601744
2019-01-12,Property,2019,1,220583.946345508
2019-01-12,Services,2019,1,14587.073412538
2019-01-13,,2019,1,8
