date,vertical,reply_type,year,month,sumOfLeads
2019-01-01,Auto,call,2019,1,240390.296891228
2019-01-01,Auto,chat,2019,1,36586.914247348
2019-01-01,Auto,email,2019,1,1443.735585318
2019-01-01,Auto,sms,2019,1,26799.199174878
2019-01-01,Generalist,call,2019,1,183204.38700152
2019-01-01,Generalist,chat,2019,1,83148.918775974
2019-01-01,Generalist,email,2019,1,1864.54334435
2019-01-01,Generalist,sms,2019,1,29842.729684816
2019-01-01,Jobs,call,2019,1,33968.16229137
2019-01-01,Jobs,chat,2019,1,47.764857738
2019-01-01,Jobs,email,2019,1,11757.5034432
2019-01-01,Jobs,sms,2019,1,2593.999197156
2019-01-01,Property,call,2019,1,172329.396238274
2019-01-01,Property,chat,2019,1,24445.23560287
2019-01-01,Property,email,2019,1,1586.829246064
2019-01-01,Property,sms,2019,1,19882.685530446
2019-01-01,Services,call,2019,1,9564.312334506
2019-01-01,Services,chat,2019,1,927.613032238
2019-01-01,Services,email,2019,1,30.54254018
2019-01-01,Services,sms,2019,1,611.29105451
2019-01-02,Auto,call,2019,1,279505.611635768
2019-01-02,Auto,chat,2019,1,42208.856163854
2019-01-02,Auto,email,2019,1,1581.069176932
2019-01-02,Auto,sms,2019,1,26447.52908514
2019-01-02,Generalist,call,2019,1,207729.687904044
2019-01-02,Generalist,chat,2019,1,91039.667858416
2019-01-02,Generalist,email,2019,1,2173.412097342
2019-01-02,Generalist,sms,2019,1,30866.262272746
2019-01-02,Jobs,call,2019,1,61528.485206196
2019-01-02,Jobs,chat,2019,1,121.249254258
2019-01-02,Jobs,email,2019,1,18753.217991904
2019-01-02,Jobs,sms,2019,1,4012.248049992
2019-01-02,Property,call,2019,1,240282.23357296
2019-01-02,Property,chat,2019,1,31370.72855479
2019-01-02,Property,email,2019,1,2732.693807622
2019-01-02,Property,sms,2019,1,22347.41537872
2019-01-02,Services,call,2019,1,12641.372992944
2019-01-02,Services,chat,2019,1,1005.974448886
2019-01-02,Services,email,2019,1,34.046543642
2019-01-02,Services,sms,2019,1,640.732274996
2019-01-03,Auto,call,2019,1,288457.238246678
2019-01-03,Auto,chat,2019,1,43145.663418494
2019-01-03,Auto,email,2019,1,1811.607176684
2019-01-03,Auto,sms,2019,1,26384.17552014
2019-01-03,Generalist,call,2019,1,205757.401445948
2019-01-03,Generalist,chat,2019,1,119487.597862902
2019-01-03,Generalist,email,2019,1,2152.063850182
2019-01-03,Generalist,sms,2019,1,28752.09305093
2019-01-03,Jobs,call,2019,1,56358.857911014
2019-01-03,Jobs,chat,2019,1,51.439077564
2019-01-03,Jobs,email,2019,1,18007.351367226
2019-01-03,Jobs,sms,2019,1,3733.007343216
2019-01-03,Property,call,2019,1,230502.556150576
2019-01-03,Property,chat,2019,1,30831.565293512
2019-01-03,Property,email,2019,1,2422.467436346
2019-01-03,Property,sms,2019,1,19677.512844316
2019-01-03,Services,call,2019,1,14205.29644474
2019-01-03,Services,chat,2019,1,1261.387259418
2019-01-03,Services,email,2019,1,45.755631284
2019-01-03,Services,sms,2019,1,846.015006362
2019-01-04,Auto,call,2019,1,266783.996730008
2019-01-04,Auto,chat,2019,1,40356.478101996
2019-01-04,Auto,email,2019,1,1439.687994842
2019-01-04,Auto,sms,2019,1,26649.817994696
2019-01-04,Generalist,call,2019,1,206202.216408478
2019-01-04,Generalist,chat,2019,1,101378.893753004
2019-01-04,Generalist,email,2019,1,2203.370210082
2019-01-04,Generalist,sms,2019,1,30116.86154095
2019-01-04,Jobs,call,2019,1,48701.78379363
2019-01-04,Jobs,chat,2019,1,58.787517216
2019-01-04,Jobs,email,2019,1,15255.360717552
2019-01-04,Jobs,sms,2019,1,3347.214261486
2019-01-04,Property,call,2019,1,221768.002470374
2019-01-04,Property,chat,2019,1,28922.493916068
2019-01-04,Property,email,2019,1,2330.45785512
2019-01-04,Property,sms,2019,1,19806.501635342
2019-01-04,Services,call,2019,1,14204.648067412
2019-01-04,Services,chat,2019,1,1173.714779768
2019-01-04,Services,email,2019,1,22.919159968
2019-01-04,Services,sms,2019,1,995.947937324
2019-01-05,Auto,call,2019,1,273365.363862956
2019-01-05,Auto,chat,2019,1,41895.926014602
