date,platform,year,month,sumOfLeads,ad_id
2019-01-01,Android,2019,1,412615.125599138,59084
2019-01-01,Desktop,2019,1,131643.464339324,25019
2019-01-01,Mobile Web,2019,1,222751.12436013,34315
2019-01-01,iOS,2019,1,114016.345775392,15062
2019-01-02,Android,2019,1,446563.36027773,63932
2019-01-02,Desktop,2019,1,252354.947209606,42173
2019-01-02,Mobile Web,2019,1,246533.198427404,37703
2019-01-02,iOS,2019,1,131570.988356412,17150
2019-01-03,Android,2019,1,474159.196444512,65725
2019-01-03,Desktop,2019,1,248135.39915017,42101
2019-01-03,Mobile Web,2019,1,243643.399716792,37284
2019-01-03,iOS,2019,1,127953.057026058,16618
2019-01-04,Android,2019,1,443615.064787156,63273
2019-01-04,Desktop,2019,1,221116.144229866,38114
2019-01-04,Mobile Web,2019,1,242298.762662414,37730
2019-01-04,iOS,2019,1,124689.18316588,16336
2019-01-05,Android,2019,1,460745.024471168,65167
2019-01-05,Desktop,2019,1,144915.444761798,27072
2019-01-05,Mobile Web,2019,1,248697.606772704,38463
2019-01-05,iOS,2019,1,132286.9773617,17056
2019-01-06,Android,2019,1,450185.39229016,64000
2019-01-06,Desktop,2019,1,142413.965554606,26377
2019-01-06,Mobile Web,2019,1,254624.297031488,39243
2019-01-06,iOS,2019,1,136716.705751116,17629
2019-01-07,Android,2019,1,449954.9980871,63359
2019-01-07,Desktop,2019,1,264298.310091648,43531
2019-01-07,Mobile Web,2019,1,254757.595024158,38396
2019-01-07,iOS,2019,1,132593.718873788,17472
2019-01-08,Android,2019,1,442033.767144952,62174
2019-01-08,Desktop,2019,1,255995.11059771,43229
2019-01-08,Mobile Web,2019,1,250430.22096499,37872
2019-01-08,iOS,2019,1,133071.90146705,17399
2019-01-09,Android,2019,1,428583.948938462,61459
2019-01-09,Desktop,2019,1,255610.37565291,43510
2019-01-09,Mobile Web,2019,1,241694.282131992,37191
2019-01-09,iOS,2019,1,128292.041299194,16649
2019-01-10,Android,2019,1,432246.009544042,62293
2019-01-10,Desktop,2019,1,241039.286512204,41021
2019-01-10,Mobile Web,2019,1,233194.992348418,36285
2019-01-10,iOS,2019,1,120710.408948416,15914
