"Year,month",platform,Avg_leads
2019-01,Android,411998.1810972566
2019-01,Desktop,201335.00304490316
2019-01,Mobile Web,226153.73218527986
2019-01,iOS,119528.21648466331
2019-02,Android,381603.16649751755
2019-02,Desktop,176783.6663237215
2019-02,Mobile Web,220542.95637812722
2019-02,iOS,115037.2092650913
2019-03,Android,336304.4096346477
2019-03,Desktop,191846.41088250067
2019-03,Mobile Web,218406.2146422891
2019-03,iOS,108878.57106813732
2019-04,Android,310088.52556442266
2019-04,Desktop,198444.72165643686
2019-04,Mobile Web,220774.3855811369
2019-04,iOS,106701.8612681528
2019-05,Android,298961.8789126325
2019-05,Desktop,177957.83004741702
2019-05,Mobile Web,193210.9978836223
2019-05,iOS,101900.88527241194
2019-06,Android,345334.77205552225
2019-06,Desktop,164386.29812578653
2019-06,Mobile Web,90804.57751106915
2019-06,iOS,109375.89823979144
2019-07,Android,362998.01333497866
2019-07,Desktop,186660.65077340373
2019-07,Mobile Web,230507.52322728102
2019-07,iOS,112714.78876816973
2019-08,Android,343811.2241145891
2019-08,Desktop,170292.73350217173
2019-08,Mobile Web,236731.2872792505
2019-08,iOS,108313.28521114399
2019-09,Android,351306.5398941884
2019-09,Desktop,159142.004608408
2019-09,Mobile Web,224187.1160494892
2019-09,iOS,111280.09142010151
2019-10,Android,341211.5972494194
2019-10,Desktop,160173.07400157393
2019-10,Mobile Web,209843.7774223786
2019-10,iOS,139903.03259182873
2019-11,Android,343176.6002787459
2019-11,Desktop,164066.1625219012
2019-11,Mobile Web,211898.57952204096
2019-11,iOS,139013.2574612414
2019-12,Android,330858.8185793776
2019-12,Desktop,144897.7154906531
2019-12,Mobile Web,259022.33772169313
2019-12,iOS,128592.60695470194
2020-01,Android,333688.95482254203
2020-01,Desktop,142449.9280022982
2020-01,Mobile Web,253280.10698457176
2020-01,iOS,117113.09767455683
2020-02,Android,330839.24404889304
2020-02,Desktop,161342.99873588516
2020-02,Mobile Web,229760.98892075947
2020-02,iOS,120570.53342889233
2020-03,Android,261181.2850140575
2020-03,Desktop,135106.16134763908
2020-03,Mobile Web,175241.75265535095
2020-03,iOS,104949.0206126093
2020-04,Android,242835.84547600462
2020-04,Desktop,100051.80255727713
2020-04,Mobile Web,150061.42154992843
2020-04,iOS,104050.44605397078
2020-05,Android,329201.53693390934
2020-05,Desktop,139837.45407073465
2020-05,Mobile Web,222453.15004375923
2020-05,iOS,138450.01695108102
2020-06,Android,384583.5533221134
2020-06,Desktop,183626.5884186926
2020-06,Mobile Web,267236.0064337158
2020-06,iOS,153040.41392737915
2020-07,Android,352628.007006261
2020-07,Desktop,175531.1909332851
2020-07,Mobile Web,241896.24780669858
2020-07,iOS,99943.82502311927
2020-08,Android,358915.2840601131
2020-08,Desktop,159214.8195612274
2020-08,Mobile Web,221508.32985351607
2020-08,iOS,98378.72235774781
2020-09,Android,355997.37793530535
2020-09,Desktop,143979.50123214477
2020-09,Mobile Web,212688.76942301588
2020-09,iOS,95007.95039022734
2020-10,Android,322313.11596736213
2020-10,Desktop,118112.62538491275
2020-10,Mobile Web,181199.38560351834
2020-10,iOS,89813.53720835676
2020-11,Android,326777.7269098002
2020-11,Desktop,110704.99136133847
2020-11,Mobile Web,166042.01059815052
2020-11,iOS,87594.73540776438
2020-12,Android,353456.3834641023
2020-12,Desktop,115848.98693518605
2020-12,Mobile Web,170111.1066188599
2020-12,iOS,86565.65097538535
2021-01,Android,407905.10166240536
2021-01,Desktop,106223.23074530963
2021-01,Mobile Web,176970.30054065742
2021-01,iOS,95592.66670624139
2021-02,Android,355283.80649651313
2021-02,Desktop,97225.1711134895
2021-02,Mobile Web,164449.85676238933
2021-02,iOS,88076.46449249038
2021-03,Android,366639.65383005736
2021-03,Desktop,115677.851696334
2021-03,Mobile Web,170030.06199478332
2021-03,iOS,89037.65786817783
