"Year,month",region,Avg_leads
2019-01,Johor,93297.59952813774
2019-01,Kedah,41687.537051873354
2019-01,Kelantan,49932.780923597486
2019-01,Kuala Lumpur,172568.60459838877
2019-01,Labuan,465.3493215809677
2019-01,Melaka,30512.05519201568
2019-01,N. Sembilan,30860.081470216515
2019-01,Pahang,25254.905095935745
2019-01,Penang,68673.70020321723
2019-01,Perak,39548.13273424348
2019-01,Perlis,3354.5927551731615
2019-01,Putrajaya,5873.051864471033
2019-01,Sabah,51631.2876010209
2019-01,Sarawak,19401.4244489289
2019-01,Selangor,297118.5226050759
2019-01,Terengganu,28833.571934355034
2019-02,Johor,87143.63834027929
2019-02,Kedah,40294.69588976907
2019-02,Kelantan,48756.61654497549
2019-02,Kuala Lumpur,158513.78488609413
2019-02,Labuan,427.7261999680714
2019-02,Melaka,28380.015170375853
2019-02,N. Sembilan,30039.886735976786
2019-02,Pahang,23595.302203869145
2019-02,Penang,64082.57458336571
2019-02,Perak,37357.38550006943
2019-02,Perlis,3375.315377472214
2019-02,Putrajaya,5577.097077621929
2019-02,Sabah,48125.69282910236
2019-02,Sarawak,18425.625276826428
2019-02,Selangor,272280.85997508897
2019-02,Terengganu,27587.210445031214
2019-03,Johor,83454.63294089465
2019-03,Kedah,37120.28527136426
2019-03,Kelantan,42442.51203977103
2019-03,Kuala Lumpur,154110.72333699942
2019-03,Labuan,399.97990945554835
2019-03,Melaka,27101.785261446577
2019-03,N. Sembilan,28034.721547574256
2019-03,Pahang,21280.451594744714
2019-03,Penang,65602.44261726794
2019-03,Perak,34688.33321745103
2019-03,Perlis,3064.2736203785817
2019-03,Putrajaya,5067.0011802419995
2019-03,Sabah,45707.61939602187
2019-03,Sarawak,17920.819108338583
2019-03,Selangor,265206.15636768687
2019-03,Terengganu,24230.619483415358
2019-04,Johor,84299.73673279467
2019-04,Kedah,35582.251074155334
2019-04,Kelantan,40397.57241326918
2019-04,Kuala Lumpur,152596.714502879
2019-04,Labuan,472.4024403622667
2019-04,Melaka,26186.4814939514
2019-04,N. Sembilan,27687.147037878796
2019-04,Pahang,21353.119493033002
2019-04,Penang,63150.6793279458
2019-04,Perak,32973.9272881256
2019-04,Perlis,2846.262724279067
2019-04,Putrajaya,5029.7542947716
2019-04,Sabah,43310.752935779805
2019-04,Sarawak,17354.714529646866
2019-04,Selangor,259160.83083622818
2019-04,Terengganu,23606.771414386534
2019-05,Johor,77729.89770869611
2019-05,Kedah,32706.602618678065
2019-05,Kelantan,38677.22758816496
2019-05,Kuala Lumpur,142053.15626138097
2019-05,Labuan,428.1018432079355
2019-05,Melaka,23609.861389272388
2019-05,N. Sembilan,25567.88581173464
2019-05,Pahang,19692.623681383484
2019-05,Penang,59260.792666518835
2019-05,Perak,31080.460870381423
2019-05,Perlis,2562.8151907705806
2019-05,Putrajaya,4466.629511063291
2019-05,Sabah,41800.4566598384
2019-05,Sarawak,16432.556773915225
2019-05,Selangor,234987.95091865235
2019-05,Terengganu,20973.968625583937
2019-06,Johor,71650.15736439875
2019-06,Kedah,32363.11353771973
2019-06,Kelantan,40120.61113636828
2019-06,Kuala Lumpur,128010.67196756789
2019-06,Labuan,331.3884603636666
2019-06,Melaka,22881.346401009665
2019-06,N. Sembilan,23401.543859319463
