"Year,month",region,Leads_per_ad
2019-01,Johor,8.331198902167891
2019-01,Kedah,8.521885943883314
2019-01,Kelantan,8.523281341706786
2019-01,Kuala Lumpur,8.688691801970153
2019-01,Labuan,6.9784907581673
2019-01,Melaka,8.776857917782307
2019-01,N. Sembilan,8.447047293008016
2019-01,Pahang,8.463488209181468
2019-01,Penang,8.573661644877427
2019-01,Perak,8.476471500681459
2019-01,Perlis,7.354497680740972
2019-01,Putrajaya,8.159486362547975
2019-01,Sabah,8.384643805487851
2019-01,Sarawak,7.28173451356074
2019-01,Selangor,8.440201534216712
2019-01,Terengganu,8.13147858480747
2019-02,Johor,8.249997981312251
2019-02,Kedah,8.427521054106846
2019-02,Kelantan,8.561770339350446
2019-02,Kuala Lumpur,8.673146796379918
2019-02,Labuan,6.660436336587628
2019-02,Melaka,8.535896862532258
2019-02,N. Sembilan,8.459399513977115
2019-02,Pahang,8.333879370663741
2019-02,Penang,8.432074945743283
2019-02,Perak,8.271510136415287
2019-02,Perlis,7.543722576876619
2019-02,Putrajaya,8.476488686637106
2019-02,Sabah,8.355895138217218
2019-02,Sarawak,7.249103937871306
2019-02,Selangor,8.352027856744742
2019-02,Terengganu,8.188425836558398
2019-03,Johor,8.033042908728843
2019-03,Kedah,8.34323360840846
2019-03,Kelantan,8.224671849647768
2019-03,Kuala Lumpur,8.359411903294133
2019-03,Labuan,6.5861988426345
2019-03,Melaka,8.368839559032832
2019-03,N. Sembilan,8.18812156548301
2019-03,Pahang,8.003526625677505
2019-03,Penang,8.18516081105972
2019-03,Perak,8.178623057755397
2019-03,Perlis,7.4400990788244075
2019-03,Putrajaya,7.948176897478729
2019-03,Sabah,8.050762447198037
2019-03,Sarawak,7.10580990539378
2019-03,Selangor,8.158728650303688
2019-03,Terengganu,7.820801182784544
2019-04,Johor,7.998795372643817
2019-04,Kedah,8.227324146777681
2019-04,Kelantan,8.123888194674898
2019-04,Kuala Lumpur,8.28916546718621
2019-04,Labuan,7.230267549849635
2019-04,Melaka,8.104255802863179
2019-04,N. Sembilan,8.111767215048031
2019-04,Pahang,8.020440182580446
2019-04,Penang,8.13317128565534
2019-04,Perak,7.819143746559339
2019-04,Perlis,7.267356447064057
2019-04,Putrajaya,7.967220450303206
2019-04,Sabah,7.8523786358374155
2019-04,Sarawak,7.016357216891403
2019-04,Selangor,8.075651855824587
2019-04,Terengganu,7.9109907425756925
2019-05,Johor,7.768112195242982
2019-05,Kedah,7.995819357366312
2019-05,Kelantan,8.30309393931631
2019-05,Kuala Lumpur,8.132346768747468
2019-05,Labuan,7.063916023193048
2019-05,Melaka,7.802677073094107
2019-05,N. Sembilan,7.910700938169915
2019-05,Pahang,7.9521777972699725
2019-05,Penang,7.9266803230069005
2019-05,Perak,7.712907065778633
2019-05,Perlis,7.144110654010962
2019-05,Putrajaya,7.631506528512186
2019-05,Sabah,7.791841572330657
2019-05,Sarawak,6.866934498902457
2019-05,Selangor,7.870127945627356
2019-05,Terengganu,7.961912381137983
2019-06,Johor,7.797685918765179
2019-06,Kedah,8.233274442619512
2019-06,Kelantan,8.659560124484614
2019-06,Kuala Lumpur,8.20481336064235
2019-06,Labuan,6.4610081461129205
2019-06,Melaka,8.075404008578642
2019-06,N. Sembilan,7.912671373181216
2019-06,Pahang,8.185691907418427
2019-06,Penang,7.829547395882173
2019-06,Perak,7.819358101624672
2019-06,Perlis,7.404886031511529
2019-06,Putrajaya,7.469701894149438
2019-06,Sabah,7.706548374936399
2019-06,Sarawak,6.996153202501724
2019-06,Selangor,7.762366086921914
2019-06,Terengganu,8.110747814269862
2019-07,Johor,8.12290216611527
2019-07,Kedah,8.451273348582706
2019-07,Kelantan,8.444034241730531
2019-07,Kuala Lumpur,8.440467771403961
2019-07,Labuan,6.980726379415533
2019-07,Melaka,8.236956351334378
2019-07,N. Sembilan,8.16476059718738
2019-07,Pahang,8.254902006495563
2019-07,Penang,8.117263334979745
2019-07,Perak,7.995641424756278
2019-07,Perlis,7.622385444218518
2019-07,Putrajaya,7.9739736119245315
2019-07,Sabah,8.119708299332167
2019-07,Sarawak,7.003447371036375
2019-07,Selangor,8.152807507036465
2019-07,Terengganu,8.162735698094018
2019-08,Johor,7.975313085946812
2019-08,Kedah,8.211294032376156
2019-08,Kelantan,8.547848634934399
2019-08,Kuala Lumpur,8.51584636935016
2019-08,Labuan,7.026383243736606
2019-08,Melaka,8.074961400717955
2019-08,N. Sembilan,8.028670941310207
2019-08,Pahang,8.41759261973759
2019-08,Penang,7.938189479830168
2019-08,Perak,7.9539507065536785
2019-08,Perlis,8.013378687979825
2019-08,Putrajaya,7.734242896997338
2019-08,Sabah,8.03629439632743
2019-08,Sarawak,7.0137268944333275
2019-08,Selangor,8.01037974345579
2019-08,Terengganu,8.206706483003504
2019-09,Johor,8.039422115673172
2019-09,Kedah,8.298000597263014
2019-09,Kelantan,8.456190593666129
2019-09,Kuala Lumpur,8.588030489211318
2019-09,Labuan,6.946144725404147
2019-09,Melaka,8.3830199005813
2019-09,N. Sembilan,8.092841932253274
2019-09,Pahang,8.417485651479696
2019-09,Penang,8.064790807444401
2019-09,Perak,7.9712922636399375
2019-09,Perlis,7.98628406412971
2019-09,Putrajaya,7.839062745189235
2019-09,Sabah,8.012921934177013
2019-09,Sarawak,6.979130980218064
2019-09,Selangor,8.152105420083574
2019-09,Terengganu,8.057662572819327
2019-10,Johor,7.936728092816826
2019-10,Kedah,8.254010359206239
2019-10,Kelantan,8.391228627350701
2019-10,Kuala Lumpur,8.502862504463238
2019-10,Labuan,7.267872047574678
2019-10,Melaka,8.603949270082586
2019-10,N. Sembilan,7.819415477835909
2019-10,Pahang,8.554196448699882
2019-10,Penang,8.048069940716774
2019-10,Perak,8.130125064757328
2019-10,Perlis,7.630028521222431
2019-10,Putrajaya,7.816978792277305
2019-10,Sabah,7.903413349322567
2019-10,Sarawak,7.105673654116264
2019-10,Selangor,8.068993881766842
2019-10,Terengganu,8.22764755867307
2019-11,Johor,8.036652126170445
2019-11,Kedah,8.268526398897102
2019-11,Kelantan,8.494979609528666
2019-11,Kuala Lumpur,8.560918864024776
2019-11,Labuan,7.337278336390243
2019-11,Melaka,8.21370531536271
2019-11,N. Sembilan,7.928093263249896
2019-11,Pahang,8.48317905558743
2019-11,Penang,8.08291753293882
2019-11,Perak,7.9318981586249775
2019-11,Perlis,7.897549018317977
2019-11,Putrajaya,7.702182168683868
2019-11,Sabah,8.047033088748032
2019-11,Sarawak,7.1368801235937775
2019-11,Selangor,8.123662872893659
2019-11,Terengganu,8.394935618735632
2019-12,Johor,8.190684106493608
2019-12,Kedah,8.50124006961099
2019-12,Kelantan,8.671546198154775
2019-12,Kuala Lumpur,8.713425775464431
2019-12,Labuan,7.625152383296577
2019-12,Melaka,8.368503470746754
2019-12,N. Sembilan,8.39911518214906
2019-12,Pahang,8.487096086072262
2019-12,Penang,8.167720780731154
2019-12,Perak,8.29541766562145
2019-12,Perlis,7.7293249664462875
2019-12,Putrajaya,7.948096118587143
2019-12,Sabah,7.898368408050736
2019-12,Sarawak,7.188938252831242
2019-12,Selangor,8.379907005707146
2019-12,Terengganu,8.515276565907229
2020-01,Johor,8.143839077765367
2020-01,Kedah,8.442778862874547
2020-01,Kelantan,8.528579328449817
2020-01,Kuala Lumpur,8.685904901710025
