"Year,month",channel_grouping,Avg_leads
2019-11,(Other),1731.5180507952664
2019-11,Direct,36516.9087313792
2019-11,Display,78.56594055946667
2019-11,Organic Search,48195.199476128
2019-11,Paid Search,13971.280843217068
2019-11,Referral,5687.583244406133
2019-11,Social,967.1906255436666
2019-12,(Other),5791.696556312128
2019-12,Direct,80004.00861952065
2019-12,Display,526.9801170216774
2019-12,Organic Search,136761.7330185036
2019-12,Paid Search,44010.728922758
2019-12,Referral,14492.710047076707
2019-12,Social,2145.9703369441936
2020-01,(Other),7277.71059607355
2020-01,Direct,107287.57765801008
2020-01,Display,6151.76449164716
2020-01,Email,21.558452443806452
2020-01,Organic Search,208101.03029760148
2020-01,Paid Search,47432.96313700278
2020-01,Referral,17144.59294752458
2020-01,Social,2312.837406566516
2020-02,(Other),14855.971880564139
2020-02,Direct,100060.52371838945
2020-02,Display,3617.3935245308285
2020-02,Email,60.4978854517931
2020-02,Organic Search,215080.0424060464
2020-02,Paid Search,35452.41192475496
2020-02,Referral,19646.522659406204
2020-02,Social,2330.6236575008274
2020-03,(Other),8555.41970687116
2020-03,Direct,87474.23870950789
2020-03,Display,2704.804006046903
2020-03,Email,28.978896926709677
2020-03,Organic Search,166386.38457486595
2020-03,Paid Search,29292.58285612645
2020-03,Referral,13872.29089046819
2020-03,Social,2033.2143621768384
2020-04,(Other),5503.715009355867
2020-04,Direct,79264.701389821
2020-04,Display,1456.8722438476668
2020-04,Email,118.0671783308
2020-04,Organic Search,125950.83789021386
2020-04,Paid Search,28370.71713174887
2020-04,Referral,8251.223349905267
2020-04,Social,1197.0899139822668
2020-05,(Other),13233.074439574968
2020-05,Direct,100332.93921616724
2020-05,Display,1538.9930392896129
2020-05,Email,81.60916625380645
2020-05,Organic Search,182161.31890600504
2020-05,Paid Search,48426.152996551165
2020-05,Referral,14528.289090732515
2020-05,Social,1988.2272599195485
2020-06,(Other),22496.796345400406
2020-06,Direct,107676.12947481436
2020-06,Display,3131.813876628867
2020-06,Email,377.43999536393335
2020-06,Organic Search,236941.8978777039
2020-06,Paid Search,51957.58949725073
2020-06,Referral,25686.040813732667
2020-06,Social,2594.8869715136
2020-07,(Other),134602.2439076217
2020-07,Direct,329659.36996089236
2020-07,Display,3550.690773619742
2020-07,Email,549.4179676279032
2020-07,Organic Search,229325.4419540646
2020-07,Paid Search,72514.25850961443
2020-07,Referral,23996.213442469227
2020-07,Social,2325.6342534540318
2020-08,(Other),152548.4235499076
2020-08,Direct,311366.41080489015
2020-08,Display,2985.1304473907744
2020-08,Email,778.8960549208065
2020-08,Organic Search,208125.08639139484
2020-08,Paid Search,69333.672419621
2020-08,Referral,22350.29800384126
2020-08,Social,1615.8188057991936
2020-09,(Other),168501.39165051928
2020-09,Direct,271351.524723039
2020-09,Display,5645.4933597272
2020-09,Email,785.8142332450334
2020-09,Organic Search,202584.61826399833
2020-09,Paid Search,67852.91909371974
2020-09,Referral,24610.7729810351
2020-09,Social,1844.5313420762666
2020-10,(Other),181156.17962913826
2020-10,Direct,262003.42641059717
2020-10,Display,2949.546508126484
2020-10,Email,830.9077520459678
2020-10,Organic Search,172952.54134669632
2020-10,Paid Search,70675.63464490739
2020-10,Referral,19427.256714309096
2020-10,Social,1443.1711583292579
2020-11,(Other),205968.08248335304
2020-11,Direct,235507.43356506334
2020-11,Display,1583.7382901234332
2020-11,Email,641.4939131781667
2020-11,Organic Search,148767.58711813344
2020-11,Paid Search,82055.10353469546
2020-11,Referral,15545.266415506501
2020-11,Social,1050.758957000133
2020-12,(Other),213385.77987469488
2020-12,Direct,250623.19963919895
2020-12,Display,3899.1471094208073
2020-12,Email,447.7485227024839
2020-12,Organic Search,146325.874100432
2020-12,Paid Search,95449.19528480775
2020-12,Referral,14755.113097466483
2020-12,Social,1096.0703648102578
2021-01,(Other),234956.2182402734
2021-01,Direct,287557.95724908775
2021-01,Display,8419.723065986065
2021-01,Email,300.1958443717742
2021-01,Organic Search,147222.87079979066
2021-01,Paid Search,94475.73003158298
2021-01,Referral,12683.90929048116
2021-01,Social,1074.6951330400645
2021-02,(Other),255786.35967699668
2021-02,Direct,207671.7892077437
2021-02,Display,9750.366625003928
2021-02,Email,155.7941334990714
2021-02,Organic Search,147274.25636533304
2021-02,Paid Search,71068.71189205967
2021-02,Referral,12119.65876647025
2021-02,Social,1208.3621977760713
2021-03,(Other),276671.5611358074
2021-03,Direct,199925.04208809556
2021-03,Display,9140.742246824806
2021-03,Email,224.9330165575484
2021-03,Organic Search,165173.11805192163
2021-03,Paid Search,76966.45801353762
2021-03,Referral,12159.845129657646
2021-03,Social,1123.525706950097
