"Year,month",vertical,Avg_leads
2019-01,Auto,319993.23266043264
2019-01,Generalist,313408.4903602189
2019-01,Jobs,62839.82611441741
2019-01,Property,247282.10708781934
2019-01,Services,15489.541105343615
2019-02,Auto,287603.95485297433
2019-02,Generalist,305523.3831662875
2019-02,Jobs,58844.33640116635
2019-02,Property,227023.52645354657
2019-02,Services,14968.226161911214
2019-03,Auto,277251.3563863588
2019-03,Generalist,264960.7900050615
2019-03,Jobs,57516.94829552517
2019-03,Property,240574.08943670732
2019-03,Services,15129.776942631745
2019-04,Auto,274687.5823852408
2019-04,Generalist,253524.24483564246
2019-04,Jobs,55421.5644334014
2019-04,Property,238811.7828745015
2019-04,Services,13564.319541362998
2019-05,Auto,261944.93289014546
2019-05,Generalist,250298.76555394477
2019-05,Jobs,40363.201160133096
2019-05,Property,206568.65829011836
2019-05,Services,12856.034221742197
2019-06,Auto,221243.4722574102
2019-06,Generalist,247109.87486402364
2019-06,Jobs,37707.538282284404
2019-06,Property,193335.88648209983
2019-06,Services,10504.774046351202
2019-07,Auto,280459.62348968483
2019-07,Generalist,267256.3098671709
2019-07,Jobs,60810.827107924066
2019-07,Property,270667.0099354526
2019-07,Services,13687.205703600774
2019-08,Auto,267738.95321474463
2019-08,Generalist,268190.90930432396
2019-08,Jobs,54915.36361227677
2019-08,Property,252125.56685595657
2019-08,Services,16177.737119853356
2019-09,Auto,265064.57168494014
2019-09,Generalist,268811.4360725829
2019-09,Jobs,55577.96372399481
2019-09,Property,241678.34736492753
2019-09,Services,14783.433125741869
2019-10,Auto,274068.46794098645
2019-10,Generalist,272024.7228473059
2019-10,Jobs,48867.1236858
2019-10,Property,241736.0776919251
2019-10,Services,14435.089099183224
2019-11,Auto,278268.5578284215
2019-11,Generalist,262554.28258777055
2019-11,Jobs,48751.01833929839
2019-11,Property,255162.62912911852
2019-11,Services,13418.111899320467
2019-12,Auto,289405.6338546764
2019-12,Generalist,265582.35029294685
2019-12,Jobs,51282.15282046375
2019-12,Property,242799.08091011387
2019-12,Services,14302.260868224967
2020-01,Auto,293622.4947009523
2020-01,Generalist,248478.14065615492
2020-01,Jobs,54244.5221859813
2020-01,Property,238038.28299635442
2020-01,Services,12148.646944525939
2020-02,Auto,283198.1203530491
2020-02,Generalist,241705.06382745772
2020-02,Jobs,54669.9837634078
2020-02,Property,252870.92450827718
2020-02,Services,10069.672682238206
2020-03,Auto,205771.98206886268
2020-03,Generalist,249370.60068934856
2020-03,Jobs,36773.2513436907
2020-03,Property,176804.23050911253
2020-03,Services,7758.155018642386
2020-04,Auto,128166.91527416451
2020-04,Generalist,339294.71684041846
2020-04,Jobs,12454.380470197999
2020-04,Property,110249.73500675366
2020-04,Services,6833.7680456464
2020-05,Auto,218429.88984829394
2020-05,Generalist,370626.59611459286
2020-05,Jobs,29905.423349575547
2020-05,Property,199422.13328656077
2020-05,Services,11558.115400461227
2020-06,Auto,313918.9648490584
2020-06,Generalist,321235.9481932234
2020-06,Jobs,56230.87258707501
2020-06,Property,286277.1499705391
2020-06,Services,10823.626502005201
2020-07,Auto,302153.4987408945
2020-07,Generalist,257305.33105890133
2020-07,Jobs,50880.682796071225
2020-07,Property,249352.72541272352
2020-07,Services,10273.935986579838
2020-08,Auto,290719.42275842733
2020-08,Generalist,246678.07295947406
2020-08,Jobs,47386.10753369582
2020-08,Property,241744.41822351638
2020-08,Services,11457.327905877835
2020-09,Auto,276009.520060888
2020-09,Generalist,223506.77393165758
2020-09,Jobs,51244.96774896429
2020-09,Property,247592.70981323786
2020-09,Services,9285.827425945601
2020-10,Auto,244502.51494448236
2020-10,Generalist,214307.3218839783
2020-10,Jobs,37467.05583656209
2020-10,Property,209066.6785235419
2020-10,Services,6073.480072359484
2020-11,Auto,224026.52122900315
2020-11,Generalist,212369.12373046696
2020-11,Jobs,33887.552070865466
2020-11,Property,214557.73550598114
2020-11,Services,6263.0650740701
2020-12,Auto,254195.80575516762
2020-12,Generalist,204947.36635206034
2020-12,Jobs,31476.04779666503
2020-12,Property,226956.2938961806
2020-12,Services,8393.452903137388
2021-01,Auto,288107.55761478754
2021-01,Generalist,230854.30524820767
2021-01,Jobs,28897.791800871357
2021-01,Property,232900.3032781937
2021-01,Services,5919.212680295484
2021-02,Auto,233677.89696584438
2021-02,Generalist,203931.1590752312
2021-02,Jobs,28268.77157018472
2021-02,Property,233702.3378370438
2021-02,Services,5437.490559435464
2021-03,Auto,280682.69843716675
2021-03,Generalist,177358.73808447944
2021-03,Jobs,29483.962747341382
2021-03,Property,247659.8865127354
2021-03,Services,6187.810575371323
