"Year,month",vertical,seller_type,Avg_leads
2019-01,Services,Private,497.33764010877417
2019-01,Services,Pro,14992.203465234837
2019-02,Services,Private,482.98284627414284
2019-02,Services,Pro,14485.243315637072
2019-03,Services,Private,484.2500537830968
2019-03,Services,Pro,14645.526888848643
2019-04,Services,Private,430.8233365704666
2019-04,Services,Pro,13133.496204792535
2019-05,Services,Private,345.40937437625803
2019-05,Services,Pro,12510.624847365934
2019-06,Services,Private,414.2923988049334
2019-06,Services,Pro,10090.481647546269
2019-07,Services,Private,609.0875347470321
2019-07,Services,Pro,13078.118168853745
2019-08,Services,Private,873.3922041884515
2019-08,Services,Pro,15304.344915664904
2019-09,Services,Private,936.3644395839333
2019-09,Services,Pro,13847.068686157934
2019-10,Services,Private,1072.2428860152256
2019-10,Services,Pro,13362.846213167999
2019-11,Services,Private,993.2285799626
2019-11,Services,Pro,12424.883319357868
2019-12,Services,Private,655.3360857229032
2019-12,Services,Pro,13646.924782502067
2020-01,Services,Private,400.91115036354836
2020-01,Services,Pro,11747.735794162387
2020-02,Services,Private,279.37951634331034
2020-02,Services,Pro,9790.293165894895
2020-03,Services,Private,188.92976053541935
2020-03,Services,Pro,7569.225258106967
2020-04,Services,Private,183.15139020673334
2020-04,Services,Pro,6650.616655439666
2020-05,Services,Private,298.8669457285807
2020-05,Services,Pro,11259.248454732644
2020-06,Services,Private,174.58160080106666
2020-06,Services,Pro,10649.044901204132
2020-07,Services,Private,156.43934331106453
2020-07,Services,Pro,10117.496643268772
2020-08,Services,Private,165.51122151767743
2020-08,Services,Pro,11291.816684360165
2020-09,Services,Private,133.0963293861333
2020-09,Services,Pro,9152.731096559466
2020-10,Services,Private,85.54729289645161
2020-10,Services,Pro,5987.932779463033
2020-11,Services,Private,81.16679452590003
2020-11,Services,Pro,6181.898279544201
2020-12,Services,Private,97.27065111154837
2020-12,Services,Pro,8296.182252025837
2021-01,Services,Private,69.22165683696771
2021-01,Services,Pro,5849.991023458517
2021-02,Services,Private,57.843046238178566
2021-02,Services,Pro,5379.647513197286
2021-03,Services,Private,52.343405261548384
2021-03,Services,Pro,6135.467170109775
