date,subcategory,year,month,sumOfLeads
2019-01-01,Accessories for Phones & Gadgets,2019,1,4344.923395302
2019-01-01,Accommodation & Homestays,2019,1,3117.088689176
2019-01-01,Apartments,2019,1,76144.82374471
2019-01-01,Bags & Wallets,2019,1,3481.79492682
2019-01-01,Bed & Bath,2019,1,1934.195085408
2019-01-01,Business for Sale,2019,1,2022.871590594
2019-01-01,Cameras & Photography,2019,1,6761.543074048
2019-01-01,Car Accessories & Parts,2019,1,47104.438384484
2019-01-01,Cars,2019,1,167149.815177312
2019-01-01,Clothes,2019,1,4750.60958632
2019-01-01,Commercial Properties,2019,1,4810.08324636
2019-01-01,Commercial Vehicle & Boats,2019,1,6292.52401019
2019-01-01,Computers & Accessories,2019,1,19155.73039848
2019-01-01,Food,2019,1,1347.07820832
2019-01-01,Furniture & Decoration,2019,1,14450.941600512
2019-01-01,Games & Consoles,2019,1,12905.476244172
2019-01-01,Garden Items,2019,1,2018.81365448
2019-01-01,Health & Beauty,2019,1,2346.639364992
2019-01-01,Hobby & Collectibles,2019,1,11725.789930792
2019-01-01,Home Appliances & Kitchen,2019,1,21661.799921424
2019-01-01,Houses,2019,1,79843.23355176
2019-01-01,Jobs,2019,1,48367.429789464
2019-01-01,Land,2019,1,11434.895055888
2019-01-01,Mobile Phones & Gadgets,2019,1,124749.930097296
2019-01-01,Moms & Kids,2019,1,5264.399921586
2019-01-01,Motorcycle Accessories & Parts,2019,1,14680.667508864
2019-01-01,Motorcycles,2019,1,69001.054765812
2019-01-01,Music Instruments,2019,1,2152.66649784
2019-01-01,Music/Movies/Books/Magazines,2019,1,529.816562128
2019-01-01,Other Accessories & Parts,2019,1,991.64605211
2019-01-01,Others,2019,1,1620.89573625
2019-01-01,Pets,2019,1,17373.357831476
2019-01-01,Professional/Business Equipment,2019,1,2527.32408232
2019-01-01,Rooms,2019,1,46011.111018936
2019-01-01,Services,2019,1,5852.48571432
2019-01-01,Shoes,2019,1,5267.33955176
2019-01-01,Sports & Outdoors,2019,1,11174.271343224
2019-01-01,TV/Audio/Video,2019,1,11498.613759568
2019-01-01,Textbooks,2019,1,265.326923032
2019-01-01,Tickets & Vouchers,2019,1,206.747553824
2019-01-01,Tours and Holidays,2019,1,817.106349618
2019-01-01,Watches & Fashion Accessories,2019,1,7560.643004604
