date,channel_grouping,year,month,sumOfLeads
2019-01-01,,2019,1,881026.060073984
2019-01-02,,2019,1,1077022.494271152
2019-01-03,,2019,1,1093891.052337532
2019-01-04,,2019,1,1031719.154845316
2019-01-05,,2019,1,986645.05336737
2019-01-06,,2019,1,983940.36062737
2019-01-07,,2019,1,1101604.622076694
2019-01-08,,2019,1,1081531.000174702
2019-01-09,,2019,1,1054180.648022558
2019-01-10,,2019,1,1027190.69735308
2019-01-11,,2019,1,974589.301476264
2019-01-12,,2019,1,896732.580681686
2019-01-13,,2019,1,903306.61169545
2019-01-14,,2019,1,1039595.255548422
2019-01-15,,2019,1,1012438.379420316
2019-01-16,,2019,1,993416.964272598
2019-01-17,,2019,1,986214.863663098
2019-01-18,,2019,1,899682.455645756
2019-01-19,,2019,1,823239.212908824
2019-01-20,,2019,1,794176.731854098
2019-01-21,,2019,1,887847.10532723
2019-01-22,,2019,1,972152.357878356
2019-01-23,,2019,1,952721.890945882
2019-01-24,,2019,1,919922.105544528
2019-01-25,,2019,1,873452.713736754
2019-01-26,,2019,1,804829.131880764
2019-01-27,,2019,1,805224.682539464
2019-01-28,,2019,1,967494.17789744
2019-01-29,,2019,1,1047446.307993926
2019-01-30,,2019,1,935296.031059118
2019-01-31,,2019,1,920939.112055458
2019-02-01,,2019,2,841735.092147136
2019-02-02,,2019,2,785897.69128649
2019-02-03,,2019,2,757040.681150632
2019-02-04,,2019,2,778397.585608124
2019-02-05,,2019,2,697296.783666784
2019-02-06,,2019,2,770014.984068066
2019-02-07,,2019,2,922717.935283388
2019-02-08,,2019,2,898360.77711421
2019-02-09,,2019,2,849189.525362864
2019-02-10,,2019,2,838219.952427946
2019-02-11,,2019,2,1022158.11525521
2019-02-12,,2019,2,977861.475585296
2019-02-13,,2019,2,965054.426457834
2019-02-14,,2019,2,964258.985458504
2019-02-15,,2019,2,907411.562269044
2019-02-16,,2019,2,857308.205801872
2019-02-17,,2019,2,853587.401731402
2019-02-18,,2019,2,1045942.103763372
2019-02-19,,2019,2,1001411.065714076
2019-02-20,,2019,2,950763.077073788
2019-02-21,,2019,2,947203.981488572
2019-02-22,,2019,2,884165.718082622
2019-02-23,,2019,2,822581.918458736
2019-02-24,,2019,2,827237.168680148
2019-02-25,,2019,2,1011495.452158068
2019-02-26,,2019,2,977234.901586456
2019-02-27,,2019,2,945073.520423414
2019-02-28,,2019,2,931455.868900756
2019-03-01,,2019,3,897200.430371138
2019-03-02,,2019,3,824773.234770212
2019-03-03,,2019,3,797403.705162576
2019-03-04,,2019,3,956074.904102676
2019-03-05,,2019,3,940155.523524164
2019-03-06,,2019,3,930227.115638046
2019-03-07,,2019,3,937780.450917994
2019-03-08,,2019,3,861047.996849776
2019-03-09,,2019,3,798347.164171264
2019-03-10,,2019,3,797804.95660857
2019-03-11,,2019,3,949739.49569206
2019-03-12,,2019,3,932207.7421843
2019-03-13,,2019,3,902097.250678462
2019-03-14,,2019,3,872389.521471234
2019-03-15,,2019,3,797381.055474364
2019-03-16,,2019,3,743648.480579966
2019-03-17,,2019,3,777013.56692792
2019-03-18,,2019,3,936658.450430812
2019-03-19,,2019,3,932655.946073804
2019-03-20,,2019,3,908413.89508475
2019-03-21,,2019,3,882987.643868982
2019-03-22,,2019,3,796981.455285622
2019-03-23,,2019,3,726844.337926076
2019-03-24,,2019,3,732888.1317335
2019-03-25,,2019,3,896121.711222056
2019-03-26,,2019,3,898714.768691958
2019-03-27,,2019,3,886517.009818572
2019-03-28,,2019,3,881068.85954121
2019-03-29,,2019,3,825942.894546924
2019-03-30,,2019,3,734512.903674058
2019-03-31,,2019,3,762903.190031772
2019-04-01,,2019,4,920884.88620066
2019-04-02,,2019,4,935244.188678694
2019-04-03,,2019,4,905840.642618738
2019-04-04,,2019,4,887382.748999338
2019-04-05,,2019,4,824377.76279617
2019-04-06,,2019,4,758322.15025285
2019-04-07,,2019,4,769172.902075986
2019-04-08,,2019,4,925252.195953506
2019-04-09,,2019,4,912395.775846342
2019-04-10,,2019,4,890456.349835988
2019-04-11,,2019,4,870743.931759564
2019-04-12,,2019,4,822804.370722184
2019-04-13,,2019,4,730986.256491878
2019-04-14,,2019,4,746071.779774756
2019-04-15,,2019,4,902713.89678036
2019-04-16,,2019,4,896796.548366702
2019-04-17,,2019,4,866430.696656362
2019-04-18,,2019,4,850537.310708762
2019-04-19,,2019,4,820166.976217694
2019-04-20,,2019,4,738258.422444212
2019-04-21,,2019,4,729588.165830228
2019-04-22,,2019,4,915502.59478871
2019-04-23,,2019,4,868441.494081808
2019-04-24,,2019,4,863912.21936676
2019-04-25,,2019,4,842190.351584276
2019-04-26,,2019,4,788546.865060546
2019-04-27,,2019,4,698747.83976137
2019-04-28,,2019,4,712760.869995172
2019-04-29,,2019,4,865736.912509048
2019-04-30,,2019,4,820017.715945812
2019-05-01,,2019,5,732306.756472438
2019-05-02,,2019,5,859484.9007023
2019-05-03,,2019,5,802101.02504591
2019-05-04,,2019,5,725485.11755978
2019-05-05,,2019,5,698652.945881468
2019-05-06,,2019,5,805389.105738352
2019-05-07,,2019,5,809301.276852046
2019-05-08,,2019,5,805412.926372274
2019-05-09,,2019,5,813542.62165889
2019-05-10,,2019,5,768062.12300428
2019-05-11,,2019,5,720526.510384144
2019-05-12,,2019,5,698010.500304388
2019-05-13,,2019,5,847198.429487172
2019-05-14,,2019,5,815017.78364729
2019-05-15,,2019,5,809384.500367886
2019-05-16,,2019,5,799101.214679248
2019-05-17,,2019,5,747257.81239427
2019-05-18,,2019,5,625776.978045212
2019-05-19,,2019,5,698944.961412314
2019-05-20,,2019,5,789730.62376598
2019-05-21,,2019,5,867722.150066934
2019-05-22,,2019,5,829438.521587396
2019-05-23,,2019,5,846385.857623426
2019-05-24,,2019,5,793037.955482364
2019-05-25,,2019,5,766373.489106998
2019-05-26,,2019,5,756981.51096402
2019-05-27,,2019,5,838603.308885694
2019-05-28,,2019,5,765821.976800202
2019-05-29,,2019,5,735220.078178274
2019-05-30,,2019,5,701197.22761557
2019-05-31,,2019,5,661509.16551208
2019-06-01,,2019,6,597700.783455738
2019-06-02,,2019,6,575859.930784602
2019-06-03,,2019,6,614385.442533986
2019-06-04,,2019,6,511561.478963154
2019-06-05,,2019,6,337426.912375386
2019-06-06,,2019,6,447705.1330763
2019-06-07,,2019,6,552382.602318948
2019-06-08,,2019,6,576536.21090279
2019-06-09,,2019,6,655523.377089362
2019-06-10,,2019,6,855812.343159044
2019-06-11,,2019,6,902305.753867478
2019-06-12,,2019,6,848561.666350898
2019-06-13,,2019,6,846063.558192922
2019-06-14,,2019,6,769227.013456182
2019-06-15,,2019,6,669168.21384119
2019-06-16,,2019,6,678856.81851146
2019-06-17,,2019,6,852581.286684438
2019-06-18,,2019,6,837291.291377134
2019-06-19,,2019,6,820575.842626874
2019-06-20,,2019,6,799707.786595058
2019-06-21,,2019,6,757117.674862462
2019-06-22,,2019,6,670557.675596054
2019-06-23,,2019,6,688143.494358392
2019-06-24,,2019,6,862639.957067996
2019-06-25,,2019,6,876908.922826568
2019-06-26,,2019,6,819741.706068394
2019-06-27,,2019,6,789314.232670996
2019-06-28,,2019,6,751664.190612616
2019-06-29,,2019,6,660312.802422384
2019-06-30,,2019,6,671412.275316274
2019-07-01,,2019,7,872546.146975644
2019-07-02,,2019,7,849720.879050928
2019-07-03,,2019,7,881868.039229254
2019-07-04,,2019,7,935079.602679232
2019-07-05,,2019,7,891547.277924356
2019-07-06,,2019,7,822452.333122202
2019-07-07,,2019,7,835533.480887742
2019-07-08,,2019,7,991784.578267792
2019-07-09,,2019,7,990674.203125094
2019-07-10,,2019,7,948507.89387072
2019-07-11,,2019,7,930715.712576174
2019-07-12,,2019,7,864849.589736202
2019-07-13,,2019,7,771041.682284534
2019-07-14,,2019,7,806607.547563096
2019-07-15,,2019,7,971802.046797554
2019-07-16,,2019,7,964584.79487903
2019-07-17,,2019,7,966450.737700114
2019-07-18,,2019,7,893209.013930344
2019-07-19,,2019,7,836363.203690376
2019-07-20,,2019,7,818555.19530443
2019-07-21,,2019,7,865504.590913862
2019-07-22,,2019,7,949648.391527292
2019-07-23,,2019,7,938950.095469328
2019-07-24,,2019,7,916184.940110298
2019-07-25,,2019,7,906615.28961315
2019-07-26,,2019,7,878654.015933826
2019-07-27,,2019,7,817587.995296634
2019-07-28,,2019,7,812458.021733384
2019-07-29,,2019,7,950160.122754794
2019-07-30,,2019,7,878598.412895238
2019-07-31,,2019,7,921054.423376204
2019-08-01,,2019,8,899695.40147685
2019-08-02,,2019,8,859451.103365058
2019-08-03,,2019,8,802366.046889182
2019-08-04,,2019,8,813762.518156902
2019-08-05,,2019,8,943469.624337386
2019-08-06,,2019,8,933165.10757238
2019-08-07,,2019,8,858132.363732848
2019-08-08,,2019,8,837370.452004426
2019-08-09,,2019,8,794182.576602186
2019-08-10,,2019,8,682108.650714082
2019-08-11,,2019,8,574242.46527537
2019-08-12,,2019,8,701712.795622836
2019-08-13,,2019,8,879083.630449822
2019-08-14,,2019,8,887934.177320754
2019-08-15,,2019,8,876827.933079202
2019-08-16,,2019,8,836038.124204412
2019-08-17,,2019,8,792373.977263534
2019-08-18,,2019,8,804950.51783743
2019-08-19,,2019,8,966048.382701548
2019-08-20,,2019,8,931183.307577156
2019-08-21,,2019,8,930810.981297414
2019-08-22,,2019,8,869325.636471782
2019-08-23,,2019,8,851864.708098076
2019-08-24,,2019,8,806209.347753052
2019-08-25,,2019,8,883083.268479076
2019-08-26,,2019,8,1000459.316426212
2019-08-27,,2019,8,1031844.958141882
2019-08-28,,2019,8,978842.241879182
2019-08-29,,2019,8,884053.508608532
2019-08-30,,2019,8,902088.435351246
2019-08-31,,2019,8,820922.874631998
2019-09-01,,2019,9,825696.131845214
2019-09-02,,2019,9,915054.965871756
2019-09-03,,2019,9,944159.010069648
2019-09-04,,2019,9,941456.050907872
2019-09-05,,2019,9,934227.462463396
2019-09-06,,2019,9,868083.36608644
2019-09-07,,2019,9,811277.2404923
2019-09-08,,2019,9,781432.001948706
2019-09-09,,2019,9,831252.95688834
2019-09-10,,2019,9,890659.215663012
2019-09-11,,2019,9,864597.927783492
2019-09-12,,2019,9,875623.769484464
2019-09-13,,2019,9,770499.725696564
2019-09-14,,2019,9,726518.18509463
2019-09-15,,2019,9,737582.609490134
2019-09-16,,2019,9,808615.59643621
2019-09-17,,2019,9,904360.048302372
2019-09-18,,2019,9,876934.541118248
2019-09-19,,2019,9,865883.41191842
2019-09-20,,2019,9,821568.579760352
2019-09-21,,2019,9,783093.066297388
2019-09-22,,2019,9,767496.90142674
2019-09-23,,2019,9,913270.796132226
2019-09-24,,2019,9,906867.201920968
2019-09-25,,2019,9,882345.689301732
2019-09-26,,2019,9,860584.918664038
2019-09-27,,2019,9,811233.49066403
2019-09-28,,2019,9,748915.370895422
2019-09-29,,2019,9,790968.228504896
2019-09-30,,2019,9,917214.098036606
2019-10-01,,2019,10,904237.548881742
2019-10-02,,2019,10,901355.776435194
2019-10-03,,2019,10,906679.889637406
2019-10-04,,2019,10,863014.42276461
2019-10-05,,2019,10,785192.872804598
2019-10-06,,2019,10,782957.008335096
2019-10-07,,2019,10,903016.161305524
2019-10-08,,2019,10,931153.021583786
2019-10-09,,2019,10,800072.501006598
2019-10-10,,2019,10,714425.854542596
2019-10-11,,2019,10,797959.276619264
2019-10-12,,2019,10,745762.991348288
2019-10-13,,2019,10,750951.081811816
2019-10-14,,2019,10,885622.043010214
2019-10-15,,2019,10,908678.790263226
2019-10-16,,2019,10,928804.108913954
2019-10-17,,2019,10,899618.354058366
2019-10-18,,2019,10,836724.060836848
2019-10-19,,2019,10,802680.25040213
2019-10-20,,2019,10,813790.237302496
2019-10-21,,2019,10,940812.132157308
2019-10-22,,2019,10,899705.174949736
2019-10-23,,2019,10,870427.110044752
