date,region,seller_type,year,month,sumOfLeads,ad_id
2019-01-01,Johor,Private,2019,1,47967.71307075,5418
2019-01-01,Johor,Pro,2019,1,46694.963696008,6145
2019-01-01,Kedah,Private,2019,1,26979.89571316,2904
2019-01-01,Kedah,Pro,2019,1,13738.820501114,1725
2019-01-01,Kelantan,Private,2019,1,36832.107625182,4061
2019-01-01,Kelantan,Pro,2019,1,13244.194724242,1557
2019-01-01,Kuala Lumpur,Private,2019,1,66935.834011666,7336
2019-01-01,Kuala Lumpur,Pro,2019,1,78343.731071666,10540
2019-01-01,Labuan,Private,2019,1,501.567516778,64
2019-01-01,Labuan,Pro,2019,1,56.31908479,8
2019-01-01,Melaka,Private,2019,1,19742.471767662,1958
2019-01-01,Melaka,Pro,2019,1,11821.468195176,1452
2019-01-01,N. Sembilan,Private,2019,1,16525.23036809,1909
2019-01-01,N. Sembilan,Pro,2019,1,12969.137792492,1675
2019-01-01,Pahang,Private,2019,1,19110.964471334,1994
2019-01-01,Pahang,Pro,2019,1,5343.559071254,742
2019-01-01,Penang,Private,2019,1,39283.863359918,3992
2019-01-01,Penang,Pro,2019,1,24139.4778852,3239
2019-01-01,Perak,Private,2019,1,25970.902838488,2691
2019-01-01,Perak,Pro,2019,1,11815.249248408,1639
2019-01-01,Perlis,Private,2019,1,2782.3996243,358
2019-01-01,Perlis,Pro,2019,1,546.867119184,83
2019-01-01,Putrajaya,Private,2019,1,3188.778282412,395
2019-01-01,Putrajaya,Pro,2019,1,1850.4709843,264
2019-01-01,Sabah,Private,2019,1,30138.518793562,3492
2019-01-01,Sabah,Pro,2019,1,15982.456524096,1886
2019-01-01,Sarawak,Private,2019,1,10373.569929134,1362
2019-01-01,Sarawak,Pro,2019,1,5704.103304222,916
2019-01-01,Selangor,Private,2019,1,126505.725866932,13665
2019-01-01,Selangor,Pro,2019,1,138291.604087182,18821
2019-01-01,Terengganu,Private,2019,1,21126.60637707,2465
2019-01-01,Terengganu,Pro,2019,1,6517.487168212,854
2019-01-02,Johor,Private,2019,1,46973.368067246,5185
2019-01-02,Johor,Pro,2019,1,51041.704489776,6768
2019-01-02,Kedah,Private,2019,1,29198.497608634,3080
2019-01-02,Kedah,Pro,2019,1,15981.867896202,1869
2019-01-02,Kelantan,Private,2019,1,40485.076411116,4263
2019-01-02,Kelantan,Pro,2019,1,14776.364207946,1688
2019-01-02,Kuala Lumpur,Private,2019,1,85371.270916636,8650
2019-01-02,Kuala Lumpur,Pro,2019,1,112132.488443446,13944
2019-01-02,Labuan,Private,2019,1,486.666828108,63
2019-01-02,Labuan,Pro,2019,1,77.909540084,10
2019-01-02,Melaka,Private,2019,1,20697.852354252,2123
2019-01-02,Melaka,Pro,2019,1,13649.183430964,1649
2019-01-02,N. Sembilan,Private,2019,1,19699.635448526,2045
2019-01-02,N. Sembilan,Pro,2019,1,15917.315887926,1941
2019-01-02,Pahang,Private,2019,1,20510.391052574,2162
2019-01-02,Pahang,Pro,2019,1,6631.689427756,862
2019-01-02,Penang,Private,2019,1,46634.88397726,4438
2019-01-02,Penang,Pro,2019,1,35317.354408494,4364
2019-01-02,Perak,Private,2019,1,28596.430656942,3043
2019-01-02,Perak,Pro,2019,1,14138.132733492,1753
2019-01-02,Perlis,Private,2019,1,3392.22449862,389
2019-01-02,Perlis,Pro,2019,1,556.868438742,80
2019-01-02,Putrajaya,Private,2019,1,3844.880017218,434
2019-01-02,Putrajaya,Pro,2019,1,2735.654758528,287
2019-01-02,Sabah,Private,2019,1,34754.005365116,3817
2019-01-02,Sabah,Pro,2019,1,21674.527751716,2441
2019-01-02,Sarawak,Private,2019,1,12804.355478058,1620
2019-01-02,Sarawak,Pro,2019,1,7414.237675126,1137
2019-01-02,Selangor,Private,2019,1,150597.842502298,15728
2019-01-02,Selangor,Pro,2019,1,191542.228917852,23730
2019-01-02,Terengganu,Private,2019,1,22296.294721632,2545
2019-01-02,Terengganu,Pro,2019,1,7091.290358866,903
2019-01-03,Johor,Private,2019,1,49966.9914395,5225
2019-01-03,Johor,Pro,2019,1,53280.007248442,7017
2019-01-03,Kedah,Private,2019,1,31677.95273474,3244
2019-01-03,Kedah,Pro,2019,1,15504.264664592,1910
2019-01-03,Kelantan,Private,2019,1,40137.875802712,4268
