date,region,year,month,sumOfLeads
2019-01-01,Johor,2019,1,94662.676766758
2019-01-01,Kedah,2019,1,40718.716214274
2019-01-01,Kelantan,2019,1,50076.302349424
2019-01-01,Kuala Lumpur,2019,1,145279.565083332
2019-01-01,Labuan,2019,1,557.886601568
2019-01-01,Melaka,2019,1,31563.939962838
2019-01-01,N. Sembilan,2019,1,29494.368160582
2019-01-01,Pahang,2019,1,24454.523542588
2019-01-01,Penang,2019,1,63423.341245118
2019-01-01,Perak,2019,1,37786.152086896
2019-01-01,Perlis,2019,1,3329.266743484
2019-01-01,Putrajaya,2019,1,5039.249266712
2019-01-01,Sabah,2019,1,46120.975317658
2019-01-01,Sarawak,2019,1,16077.673233356
2019-01-01,Selangor,2019,1,264797.329954114
2019-01-01,Terengganu,2019,1,27644.093545282
2019-01-02,Johor,2019,1,98015.072557022
2019-01-02,Kedah,2019,1,45180.365504836
2019-01-02,Kelantan,2019,1,55261.440619062
2019-01-02,Kuala Lumpur,2019,1,197503.759360082
2019-01-02,Labuan,2019,1,564.576368192
2019-01-02,Melaka,2019,1,34347.035785216
2019-01-02,N. Sembilan,2019,1,35616.951336452
2019-01-02,Pahang,2019,1,27142.08048033
2019-01-02,Penang,2019,1,81952.238385754
2019-01-02,Perak,2019,1,42734.563390434
2019-01-02,Perlis,2019,1,3949.092937362
2019-01-02,Putrajaya,2019,1,6580.534775746
2019-01-02,Sabah,2019,1,56428.533116832
2019-01-02,Sarawak,2019,1,20218.593153184
2019-01-02,Selangor,2019,1,342140.07142015
2019-01-02,Terengganu,2019,1,29387.585080498
2019-01-03,Johor,2019,1,103246.998687942
2019-01-03,Kedah,2019,1,47182.217399332
2019-01-03,Kelantan,2019,1,52818.179983398
2019-01-03,Kuala Lumpur,2019,1,201237.91902938
2019-01-03,Labuan,2019,1,553.518117842
2019-01-03,Melaka,2019,1,36093.59328482
2019-01-03,N. Sembilan,2019,1,34450.78517215
2019-01-03,Pahang,2019,1,27068.017735026
2019-01-03,Penang,2019,1,82906.258416102
2019-01-03,Perak,2019,1,43595.041732798
2019-01-03,Perlis,2019,1,3811.579742828
2019-01-03,Putrajaya,2019,1,6157.82819113
2019-01-03,Sabah,2019,1,58825.742874714
2019-01-03,Sarawak,2019,1,21027.77638841
2019-01-03,Selangor,2019,1,343717.038027496
2019-01-03,Terengganu,2019,1,31198.557554164
2019-01-04,Johor,2019,1,102610.72261593
2019-01-04,Kedah,2019,1,45090.349225002
2019-01-04,Kelantan,2019,1,53310.406531878
2019-01-04,Kuala Lumpur,2019,1,186568.889258078
2019-01-04,Labuan,2019,1,438.95286549
2019-01-04,Melaka,2019,1,32551.226118052
2019-01-04,N. Sembilan,2019,1,33062.2373008
2019-01-04,Pahang,2019,1,26793.740808992
2019-01-04,Penang,2019,1,76022.730340134
2019-01-04,Perak,2019,1,42065.256422246
2019-01-04,Perlis,2019,1,3783.217420198
2019-01-04,Putrajaya,2019,1,6451.883161028
2019-01-04,Sabah,2019,1,54895.911057544
2019-01-04,Sarawak,2019,1,20001.155472508
2019-01-04,Selangor,2019,1,318488.171844014
2019-01-04,Terengganu,2019,1,29584.304403422
2019-01-05,Johor,2019,1,101590.983418354
2019-01-05,Kedah,2019,1,43521.92012704
2019-01-05,Kelantan,2019,1,54600.845099288
2019-01-05,Kuala Lumpur,2019,1,176495.194070246
2019-01-05,Labuan,2019,1,539.494425594
2019-01-05,Melaka,2019,1,31490.277422912
2019-01-05,N. Sembilan,2019,1,30717.256513586
2019-01-05,Pahang,2019,1,26689.617698568
2019-01-05,Penang,2019,1,68997.855678726
2019-01-05,Perak,2019,1,40882.209485124
2019-01-05,Perlis,2019,1,3879.337914864
2019-01-05,Putrajaya,2019,1,5617.120432262
2019-01-05,Sabah,2019,1,52423.379567946
2019-01-05,Sarawak,2019,1,20734.293638558
2019-01-05,Selangor,2019,1,297441.516000178
2019-01-05,Terengganu,2019,1,31023.751874124
2019-01-06,,2019,1,2
2019-01-06,Johor,2019,1,106007.490797936
2019-01-06,Kedah,2019,1,46276.093619364
2019-01-06,Kelantan,2019,1,52028.359664822
2019-01-06,Kuala Lumpur,2019,1,171634.472393676
2019-01-06,Labuan,2019,1,421.686008502
2019-01-06,Melaka,2019,1,30312.820804294
2019-01-06,N. Sembilan,2019,1,31644.816573466
2019-01-06,Pahang,2019,1,26505.578886926
2019-01-06,Penang,2019,1,68437.341483336
2019-01-06,Perak,2019,1,40395.692759468
2019-01-06,Perlis,2019,1,3330.518231284
2019-01-06,Putrajaya,2019,1,6582.287790324
2019-01-06,Sabah,2019,1,52197.567880134
2019-01-06,Sarawak,2019,1,20051.452424928
2019-01-06,Selangor,2019,1,294770.69945943
2019-01-06,Terengganu,2019,1,33341.48184948
2019-01-07,Johor,2019,1,109065.225266098
2019-01-07,Kedah,2019,1,45834.020089272
2019-01-07,Kelantan,2019,1,52866.894719458
2019-01-07,Kuala Lumpur,2019,1,202709.479135016
2019-01-07,Labuan,2019,1,397.14299555
2019-01-07,Melaka,2019,1,32630.733698782
2019-01-07,N. Sembilan,2019,1,35865.307966896
2019-01-07,Pahang,2019,1,27897.877253252
2019-01-07,Penang,2019,1,80220.060015872
2019-01-07,Perak,2019,1,43550.137300858
2019-01-07,Perlis,2019,1,3793.915746208
2019-01-07,Putrajaya,2019,1,6966.436982346
2019-01-07,Sabah,2019,1,57238.98340192
2019-01-07,Sarawak,2019,1,20521.797158092
2019-01-07,Selangor,2019,1,352446.096224596
2019-01-07,Terengganu,2019,1,29600.514122478
2019-01-08,Johor,2019,1,106062.838435828
2019-01-08,Kedah,2019,1,47593.15609655
2019-01-08,Kelantan,2019,1,51014.32497879
2019-01-08,Kuala Lumpur,2019,1,199475.972056286
2019-01-08,Labuan,2019,1,431.12431912
2019-01-08,Melaka,2019,1,33057.708830944
2019-01-08,N. Sembilan,2019,1,33849.355069196
2019-01-08,Pahang,2019,1,28610.746188196
2019-01-08,Penang,2019,1,81850.14674608
2019-01-08,Perak,2019,1,44413.650763998
2019-01-08,Perlis,2019,1,3676.38935482
